Aangeboden sinds,Aantal badkamers,Aantal kamers,Aantal woonlagen,Aanvaarding,Achtertuin,Address,Badkamervoorzieningen,Balkon / dakterras,Bedrijfsruimte,Bijdrage VvE,Bouwjaar,C.V.-ketel,Eigendomssituatie,Energielabel,Externe bergruimte,Gebouwgebonden buitenruimte,Gelegen op,Huurprijs,Inhoud,Inschrijving KvK,Isolatie,Jaarlijkse vergadering,Lasten,Ligging,Ligging tuin,Onderhoudsplan,Oorspronkelijke huurprijs,Oorspronkelijke vraagprijs,Opstalverzekering,Overbruggingsgarantie,Overige inpandige ruimte,Perceeloppervlakte,Periodieke bijdrage,Postcode,Reservefonds aanwezig,Schuur/berging,Servicekosten,Soort appartement,Soort bouw,Soort dak,Soort garage,Soort parkeergelegenheid,Specifiek,Status,Tuin,Verwarming,Voorzieningen,Vraagprijs,Warm water,Wonen (= woonoppervlakte),Zonneterras
7 weken,1 badkamer en 1 apart toilet,3 kamers (2 slaapkamers),4 woonlagen,In overleg,,Overtoom 242 I,"Ligbad, douche en toilet",Balkon aanwezig,,,1900,"Intergas HR (gas gestookt combiketel uit 2012, Eigendom)",Volle eigendom,Niet beschikbaar,,,2e woonlaag,,223,Nee,Dubbel glas,Nee,,Aan drukke weg,,Nee,,,Nee,,,,Nee,1054 JA Amsterdam    Verkocht onder voorbehoud,Nee,Box,63 /mnd,Bovenwoning (appartement),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,,,Verkocht onder voorbehoud,,C.V.-ketel,Mechanische ventilatie,298.000,C.V.-ketel,78,
6+ maanden,1 badkamer en 1 apart toilet,4 kamers (3 slaapkamers),2 woonlagen,In overleg,,Overtoom 348 III,"Ligbad, douche en toilet","Dakterras aanwezig, balkon aanwezig en frans balkon aanwezig",,,1899,Atag HR (2007),Volle eigendom,Niet beschikbaar,,18,3e woonlaag,,405,Ja,Dubbel glas,Ja,,"Aan drukke weg, in centrum en vrij uitzicht",,Ja,,499.000,Ja,,3,,Ja,1054 JG Amsterdam   ,Ja,,180 /mnd,Bovenwoning (dubbel bovenhuis),Bestaande bouw,,,,,Beschikbaar,,C.V.-ketel,Mechanische ventilatie en TV kabel,469.000,C.V.-ketel,145,
6+ maanden,1 badkamer en 1 apart toilet,2 kamers (1 slaapkamer),1 woonlaag,In overleg,,Tweede Helmersstraat 37 II,Ligbad en douche,Balkon aanwezig,,€ 57 per maand,1930,"Gas gestookt, Huur",Volle eigendom,Niet beschikbaar,,,2e woonlaag,,168,Ja,,Ja,,Aan rustige weg,,Nee,,,Ja,,62,,Ja (€ 57 per maand),1054 CC Amsterdam   ,Ja,,57 /mnd,Bovenwoning (appartement met open portiek),Bestaande bouw,,,,,Beschikbaar,,C.V.-ketel,TV kabel,260.000,C.V.-ketel,62,
5 weken,1 badkamer en 1 apart toilet,3 kamers (2 slaapkamers),4 woonlagen,In overleg,,Eerste Helmersstraat 251 II,Douche en toilet,Balkon aanwezig,,,1906-1930,"Gas gestookt combiketel uit 2013, Eigendom",Volle eigendom,Niet beschikbaar,,5,2e woonlaag,,138,Nee,"Dakisolatie, vloerisolatie en dubbel glas",Nee,,Aan rustige weg en in woonwijk,,Nee,,,Nee,,,,Nee,1054 DX Amsterdam   ,Nee,,,Bovenwoning (appartement),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,,,Beschikbaar,,C.V.-ketel,Mechanische ventilatie en TV kabel,249.000,C.V.-ketel,52,
7 augustus 2013,1 badkamer,3 kamers (2 slaapkamers),1 woonlaag,In overleg,,Alberdingk Thijmstraat 4 I,Douche en toilet,,,€ 50 per maand,1890,"Remeha Avantis (gas gestookt combiketel, Eigendom)",Volle eigendom,Niet beschikbaar,,,1e woonlaag,,154,Ja,Gedeeltelijk dubbel glas,Ja,,Aan rustige weg en in centrum,,Nee,,,Ja,,,,Ja (€ 50 per maand),1054 AJ Amsterdam   ,Nee,,,Bovenwoning (appartement),Bestaande bouw,,,,,Beschikbaar,,C.V.-ketel,TV kabel,235.000,C.V.-ketel,55,
3 maanden,,3 kamers (2 slaapkamers),1 woonlaag,In overleg,,Anna Spenglerstraat 119,,Balkon aanwezig,,€ 246 per maand,1891,"Vaillant (gas gestookt combiketel uit 2005, Eigendom)",Gemeentelijke erfpacht (einddatum erfpacht:  31-08-2036),Niet verplicht,,8,4e woonlaag,,450,Ja,Dubbel glas,Ja,Afgekocht tot 31-08-2036,Aan rustige weg en beschutte ligging,,Ja,,,Ja,,,,Ja (€ 246 per maand),1054 NJ Amsterdam   ,Ja,,246 /mnd,Bovenwoning (appartement),Bestaande bouw,Samengesteld dak bedekt met dakpannen en bitumineuze dakbedekking,,"Openbaar parkeren, betaald parkeren en parkeervergunningen",Monument,Beschikbaar,,C.V.-ketel,Lift,450.000,C.V.-ketel,115,
7 weken,1 badkamer en 1 apart toilet,3 kamers (2 slaapkamers),5 woonlagen,In overleg,,Bosboom Toussaintstraat 48 III/IV,"Ligbad, douche en toilet",Dakterras aanwezig,,,Voor 1906,"Intergas HR (gas gestookt combiketel uit 2004, Eigendom)",Volle eigendom,Niet beschikbaar,,30,4e woonlaag,,265,Nee,Vloerisolatie en dubbel glas,Nee,,In centrum en in woonwijk,Gelegen op het zuiden,Nee,,,Nee,,,,Nee,1054 AT Amsterdam   ,Nee,,,Bovenwoning (appartement),Bestaande bouw,,,,,Beschikbaar,Zonneterras,C.V.-ketel,Mechanische ventilatie,439.000,C.V.-ketel,102,40 (5m diep en 8m breed)
3 maanden,1 badkamer en 2 aparte toiletten,4 kamers (3 slaapkamers),2 woonlagen,In overleg,,Derde Helmersstraat 67 II+III,Ligbad en douche,Dakterras aanwezig en balkon aanwezig,,,1906-1930,"Gas gestookt combiketel uit 2000, Eigendom",Volle eigendom,Niet beschikbaar,,25,3e woonlaag,,340,Nee,Gedeeltelijk dubbel glas,Nee,,In centrum en in woonwijk,,Nee,,510.000,Nee,,,,Nee,1054 BE Amsterdam   ,Nee,,,Bovenwoning (dubbel bovenhuis),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,,,Beschikbaar,,C.V.-ketel,TV kabel,499.000,C.V.-ketel,130,
2 maanden,1 badkamer en 2 aparte toiletten,5 kamers (3 slaapkamers),2 woonlagen,In overleg,,Derde Helmersstraat 78 II,Ligbad en douche,"Dakterras aanwezig, balkon aanwezig en frans balkon aanwezig",,€ 150 per maand,Voor 1906,"2005, Eigendom",Volle eigendom,Niet beschikbaar,,55,3e woonlaag,,420,Ja,Dakisolatie en dubbel glas,Ja,,Aan rustige weg en in woonwijk,,Ja,,,Ja,,,,Ja (€ 150 per maand),1054 BL Amsterdam   ,Ja,,,Bovenwoning (dubbel bovenhuis),Bestaande bouw,Plat dak,,Parkeervergunningen,Beschermd stads- of dorpsgezicht,Beschikbaar,,C.V.-ketel,TV kabel en dakraam,639.000,C.V.-ketel,140,
6+ maanden,1 badkamer en 1 apart toilet,4 kamers,1 woonlaag,In overleg,,Eerste Helmersstraat 5 d,Ligbad en douche,Balkon aanwezig,,€ 154 per maand,2005,"2005, Eigendom",Erfpacht,Niet verplicht,,19,3e woonlaag,,325,Ja,Volledig geïsoleerd,Ja,Afgekocht tot 01-07-2054,Aan rustige weg en in woonwijk,,Ja,,,Ja,,,,Ja (€ 154 per maand),1054 CX Amsterdam   ,Ja,,,Bovenwoning (appartement),Bestaande bouw,Plat dak,,Parkeervergunningen,,Beschikbaar,,C.V.-ketel,"Mechanische ventilatie, TV kabel en lift",485.000,C.V.-ketel,109,
